,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Helmholtzplatz,52.543686938798174,13.418908042164817,Goldhahn & Sampson,52.54219963187534,13.420430615306818,Gourmet Shop
1,Helmholtzplatz,52.543686938798174,13.418908042164817,Salt n Bone,52.54404686487403,13.42010231458886,Gastropub
2,Helmholtzplatz,52.543686938798174,13.418908042164817,Hum vegan cuisine,52.54365117699298,13.41649562512907,Vietnamese Restaurant
3,Helmholtzplatz,52.543686938798174,13.418908042164817,Wohnzimmer,52.543396390064636,13.419287620066626,Café
4,Helmholtzplatz,52.543686938798174,13.418908042164817,Kajumi,52.544094,13.421894,Coffee Shop
5,Helmholtzplatz,52.543686938798174,13.418908042164817,Victoria met Albert,52.54275011124199,13.420867785230792,Boutique
6,Helmholtzplatz,52.543686938798174,13.418908042164817,Pakolat,52.54381372971663,13.416153352998345,Coffee Shop
7,Helmholtzplatz,52.543686938798174,13.418908042164817,La Cave Prenzlauer Berg,52.542771,13.420996,Winery
8,Helmholtzplatz,52.543686938798174,13.418908042164817,Pastificio Tosatti,52.5435,13.419621,Italian Restaurant
9,Helmholtzplatz,52.543686938798174,13.418908042164817,Misirlou Bar,52.54240865670678,13.420687500355816,Bar
10,Helmholtzplatz,52.543686938798174,13.418908042164817,häppies,52.541465603578764,13.419871504217673,Dumpling Restaurant
11,Helmholtzplatz,52.543686938798174,13.418908042164817,höschen,52.542260157110334,13.420776128768921,Bar
12,Helmholtzplatz,52.543686938798174,13.418908042164817,Ushido,52.54230345760376,13.416069667398542,Japanese Restaurant
13,Helmholtzplatz,52.543686938798174,13.418908042164817,Lecker Song,52.544249,13.42011,Dim Sum Restaurant
14,Helmholtzplatz,52.543686938798174,13.418908042164817,Bekarei,52.54435463910769,13.422632217407227,Bakery
15,Helmholtzplatz,52.543686938798174,13.418908042164817,Helmholtzplatz,52.54308556459545,13.418769836425781,Plaza
16,Helmholtzplatz,52.543686938798174,13.418908042164817,Sophak Thai Massage,52.543561918676424,13.41491217809899,Massage Studio
17,Helmholtzplatz,52.543686938798174,13.418908042164817,Becketts Kopf,52.54548368774649,13.417096063531707,Cocktail Bar
18,Helmholtzplatz,52.543686938798174,13.418908042164817,Zia Maria,52.54595611949305,13.41762881944121,Pizza Place
19,Helmholtzplatz,52.543686938798174,13.418908042164817,kalaa yoga,52.54453418887381,13.417488524190679,Yoga Studio
20,Helmholtzplatz,52.543686938798174,13.418908042164817,Café Liebling,52.54209866252614,13.420647382736206,Café
21,Helmholtzplatz,52.543686938798174,13.418908042164817,Suzette,52.543356818522035,13.414827973512976,Creperie
22,Helmholtzplatz,52.543686938798174,13.418908042164817,Sasaya,52.544309738166525,13.418225103137415,Japanese Restaurant
23,Helmholtzplatz,52.543686938798174,13.418908042164817,Fräulein Dickes,52.545261669938675,13.421142883356502,Café
24,Helmholtzplatz,52.543686938798174,13.418908042164817,Supalife Kiosk,52.54383307038778,13.416111208205077,Art Gallery
25,Helmholtzplatz,52.543686938798174,13.418908042164817,Caravaggi,52.542869,13.420122,Italian Restaurant
26,Helmholtzplatz,52.543686938798174,13.418908042164817,Speiches Rock- & Blueskneipe,52.54373308591658,13.416300511883453,Jazz Club
27,Helmholtzplatz,52.543686938798174,13.418908042164817,Poké Pelelina,52.546249985045755,13.418940967025895,Hawaiian Restaurant
28,Helmholtzplatz,52.543686938798174,13.418908042164817,Spielplatz Helmholtzplatz,52.54311396378938,13.418469696449945,Playground
29,Helmholtzplatz,52.543686938798174,13.418908042164817,Moloko,52.54382,13.417691,Bar
30,Wiesbadener Straße,52.472878229595345,13.311817404157852,Rüdesheimer Platz,52.47315435847986,13.315327852934189,Park
31,Wiesbadener Straße,52.472878229595345,13.311817404157852,Pastis,52.47248347894102,13.31447785184562,French Restaurant
32,Wiesbadener Straße,52.472878229595345,13.311817404157852,La Vucciria,52.473234651065404,13.314112640316582,Italian Restaurant
33,Wiesbadener Straße,52.472878229595345,13.311817404157852,Lotte am Platz,52.473191999250005,13.316996424945875,Café
34,Wiesbadener Straße,52.472878229595345,13.311817404157852,Pizza & Pasta,52.472552,13.314599,Italian Restaurant
35,Wiesbadener Straße,52.472878229595345,13.311817404157852,Rheingauer Weinbrunnen,52.473154,13.314758,Wine Bar
36,Wiesbadener Straße,52.472878229595345,13.311817404157852,Prometheus,52.47422683610944,13.30821802571668,Greek Restaurant
37,Wiesbadener Straße,52.472878229595345,13.311817404157852,Gasthaus Landauer,52.4729169011418,13.317237031669004,German Restaurant
38,Wiesbadener Straße,52.472878229595345,13.311817404157852,REWE,52.473011831137576,13.307444165924949,Supermarket
39,Wiesbadener Straße,52.472878229595345,13.311817404157852,BIO COMPANY,52.473566712212275,13.314498037018925,Organic Grocery
40,Wiesbadener Straße,52.472878229595345,13.311817404157852,REWE,52.46849371292595,13.311755399197182,Supermarket
41,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3750750830254,13.654119710979346,Restaurant Strandlust,52.37630658096029,13.657328133279583,German Restaurant
42,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3750750830254,13.654119710979346,H Alt-Schmöckwitz,52.37532408559151,13.649439811706543,Tram Station
43,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3750750830254,13.654119710979346,Villa Toscana,52.37603896628201,13.648759979138934,Italian Restaurant
44,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3750750830254,13.654119710979346,Wassersportzentrum der HU,52.373572121635306,13.648960488338858,Harbor / Marina
45,Müggelheim,52.407020037638546,13.683590917846193,Waldfriedhof Müggelheim,52.406765,13.676315,Memorial Site
46,Biesdorf,52.50738304786509,13.559359810542356,Schloss Biesdorf,52.509887382703425,13.557697534561157,Palace
47,Biesdorf,52.50738304786509,13.559359810542356,Kaufland,52.507097297380184,13.557968723139052,Supermarket
