id,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,Neighbourhood,property_type,room_type,accommodates,bathrooms,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,summary_length,description_length,neighborhood_overview_length,host_verifications_count,FB_verification,email_verification,phone_verification,host_days_active,shower_necessities,tv,smoke_detector,pets_allowed,child_friendly,coffee_machine,kitchen_basics,white_goods,elevator,fire_protection,parking,host_greeting,long_term_stays,smoking_allowed,nature_and_views,bedroom_necessities,time_since_first_review,time_since_last_review,occupancy_last_year,Bakery,Bar,Cafe,Restaurant,Supermarket,price,LTV,LTV_potential
17691071,unknown,unknown,0.0,1,0.0,Moabit West,Apartment,Private room,2,1.0,Pull-out Sofa,0,0,1,0,2,6,18,80-94/100,10/10,10/10,10/10,10/10,9/10,10/10,1,moderate,1,479,978,51,8,1,1,1,860,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2-3 years,6-12 months,0.0,1,2,4,9,2,195.0,0.0,Low
9167632,unknown,unknown,0.0,2,1.0,Tempelhofer Vorstadt,Apartment,Entire home/apt,4,1.0,Real Bed,0,50,2,20,61,1125,39,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,0,strict_14_with_grace_period,2,242,919,370,5,0,1,1,2495,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2-3 years,6-12 months,0.0,0,6,4,12,0,150.0,0.0,Low
4346575,unknown,unknown,0.0,1,1.0,Frankfurter Allee Nord,Apartment,Private room,3,1.0,Real Bed,0,10,2,30,60,90,9,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,moderate,1,270,726,170,5,0,1,1,1771,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2-3 years,1+ year,0.0,0,5,2,11,0,110.0,0.0,Low
8608507,within a few hours,100%,0.0,1,0.0,Moabit West,Apartment,Entire home/apt,2,1.0,Real Bed,500,40,1,0,12,80,9,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,moderate,1,487,1000,0,2,0,1,1,1602,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2-3 years,6-12 months,0.0,1,2,4,9,2,85.0,0.0,Low
4931407,unknown,unknown,0.0,1,0.0,Kantstraße,Apartment,Private room,1,1.0,Real Bed,0,15,1,0,1,1125,7,95-100/100,9/10,10/10,10/10,10/10,10/10,0-8/10,0,flexible,1,246,761,133,2,0,1,1,1664,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2-3 years,2-6 months,0.0,1,1,2,15,0,129.0,0.0,Low
10480005,within an hour,100%,0.0,1,0.0,Tempelhofer Vorstadt,Apartment,Shared room,2,1.0,Real Bed,0,0,1,0,1,1125,95,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,flexible,1,420,443,0,4,0,1,1,1288,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2-3 years,2-6 months,0.0,0,6,4,12,0,54.0,0.0,Low
20317884,unknown,unknown,0.0,3,1.0,Prenzlauer Berg Süd,Apartment,Entire home/apt,4,1.0,Real Bed,0,15,2,5,2,1125,1,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,moderate,3,477,599,0,6,0,2,1,1705,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1-2 years,1+ year,1.0,1,7,1,8,0,0.0,0.0,Low
12905990,within a day,100%,1.0,2,1.0,Schöneberg-Nord,Apartment,Shared room,2,1.0,Real Bed,400,0,1,15,1,1125,1,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,2,77,77,0,6,1,1,1,1374,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6-12 months,6-12 months,0.0,1,4,5,11,0,90.0,0.0,Low
12729863,within a few hours,50-89%,0.0,1,1.0,Schöneberg-Nord,Other,Private room,2,1.0,Real Bed,0,0,1,0,1,1125,4,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,flexible,1,239,239,0,5,0,1,1,1239,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2-3 years,1+ year,0.0,1,4,5,11,0,50.0,0.0,Low
279344,within a day,50-89%,0.0,1,1.0,Brunnenstr. Süd,Apartment,Private room,2,1.0,Real Bed,200,69,1,20,2,365,42,95-100/100,10/10,9/10,9/10,9/10,10/10,9/10,0,moderate,1,0,990,0,4,0,1,1,2790,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4+ years,2-6 months,0.0,0,3,3,6,1,76.0,0.0,Low
